Data	Último	Abertura	Máxima	Mínima	Vol.	Var%
22.04.2020	0,18804	0,18352	0,1895	0,1821	2,19B	2,47%
21.04.2020	0,18351	0,18175	0,18611	0,18126	2,64B	0,97%
20.04.2020	0,18175	0,18897	0,19441	0,17885	3,18B	-3,82%
19.04.2020	0,18896	0,19529	0,19612	0,18806	2,15B	-3,25%
18.04.2020	0,19532	0,18868	0,19669	0,18859	2,08B	3,51%
17.04.2020	0,18869	0,19053	0,19174	0,18642	2,19B	-0,96%
16.04.2020	0,19052	0,18058	0,19285	0,17432	3,76B	5,51%
15.04.2020	0,18058	0,18611	0,18971	0,18023	2,63B	-2,98%
14.04.2020	0,18613	0,18769	0,189	0,18376	2,40B	-0,83%
13.04.2020	0,1877	0,18941	0,18941	0,18089	3,10B	-0,91%
12.04.2020	0,18942	0,18843	0,19552	0,18626	2,65B	0,54%
11.04.2020	0,18841	0,18762	0,19215	0,18509	2,28B	0,41%
10.04.2020	0,18764	0,1983	0,19873	0,18173	2,74B	-5,37%
09.04.2020	0,1983	0,20192	0,20229	0,19468	2,36B	-1,79%
08.04.2020	0,20192	0,19287	0,20261	0,19163	2,74B	4,69%
07.04.2020	0,19287	0,19805	0,20497	0,19023	3,98B	-2,61%
06.04.2020	0,19805	0,17935	0,19812	0,17931	3,81B	10,43%
05.04.2020	0,17935	0,18122	0,18201	0,17691	2,10B	-1,03%
04.04.2020	0,18122	0,17952	0,18307	0,17785	2,55B	0,94%
03.04.2020	0,17952	0,1784	0,18275	0,17606	3,19B	0,63%
02.04.2020	0,1784	0,17498	0,18587	0,1742	4,05B	1,96%
01.04.2020	0,17498	0,17364	0,17587	0,16821	3,36B	0,77%
31.03.2020	0,17365	0,17113	0,17788	0,17059	3,25B	1,47%
30.03.2020	0,17113	0,16288	0,17505	0,16256	3,27B	5,06%
29.03.2020	0,16289	0,17547	0,17651	0,16217	3,28B	-7,16%
28.03.2020	0,17545	0,17286	0,17976	0,1667	4,51B	1,50%
27.03.2020	0,17286	0,17598	0,18709	0,16972	5,04B	-1,78%
26.03.2020	0,17599	0,16173	0,17684	0,15999	3,36B	8,82%
25.03.2020	0,16173	0,16236	0,16496	0,15733	3,33B	-0,38%
24.03.2020	0,16236	0,15862	0,1637	0,15712	3,62B	2,36%
23.03.2020	0,15862	0,14788	0,16105	0,14544	3,96B	7,26%
22.03.2020	0,14789	0,15789	0,16157	0,14658	3,27B	-6,33%
21.03.2020	0,15788	0,15683	0,16152	0,15198	3,74B	0,68%
20.03.2020	0,15681	0,16467	0,17453	0,14604	6,38B	-4,79%
19.03.2020	0,16469	0,14751	0,17199	0,14445	4,92B	11,66%
18.03.2020	0,1475	0,14719	0,14924	0,14042	4,12B	0,17%
17.03.2020	0,14724	0,14092	0,15176	0,13994	4,79B	4,48%
16.03.2020	0,14093	0,15309	0,15314	0,12872	7,15B	-7,94%
15.03.2020	0,15309	0,14596	0,16386	0,14479	4,76B	4,88%
14.03.2020	0,14596	0,15886	0,15974	0,14376	5,24B	-8,10%
13.03.2020	0,15882	0,13582	0,1658	0,1057	13,83B	16,75%
12.03.2020	0,13604	0,20812	0,20973	0,12922	9,82B	-34,64%
11.03.2020	0,20812	0,21171	0,2137	0,19957	2,87B	-1,69%
