Data	Último	Abertura	Máxima	Mínima	Vol.	Var%
30.01.2021	0,44304	0,28278	0,50882	0,27879	9,31B	56,67%
29.01.2021	0,28278	0,26414	0,31664	0,26038	3,05B	7,05%
28.01.2021	0,26415	0,25073	0,26998	0,24728	765,96M	5,35%
27.01.2021	0,25073	0,26841	0,26861	0,24441	773,60M	-6,59%
26.01.2021	0,26841	0,26758	0,27082	0,25809	636,91M	0,31%
25.01.2021	0,26758	0,2732	0,2839	0,26709	837,93M	-2,06%
24.01.2021	0,2732	0,27163	0,27781	0,26863	645,08M	0,57%
23.01.2021	0,27166	0,27246	0,28303	0,26572	798,56M	-0,35%
22.01.2021	0,27261	0,2681	0,27818	0,24165	1,49B	1,68%
21.01.2021	0,2681	0,29531	0,3072	0,26051	1,63B	-9,21%
20.01.2021	0,29531	0,29453	0,31044	0,28041	1,50B	0,26%
19.01.2021	0,29455	0,28539	0,32793	0,28409	2,07B	3,21%
18.01.2021	0,28539	0,27742	0,28863	0,27171	904,13M	2,87%
17.01.2021	0,27742	0,27923	0,28538	0,26876	900,72M	-0,75%
16.01.2021	0,27951	0,28022	0,29628	0,27543	1,18B	-0,31%
15.01.2021	0,28037	0,2966	0,30301	0,26257	1,40B	-5,47%
14.01.2021	0,2966	0,30572	0,30864	0,28358	1,48B	-2,99%
13.01.2021	0,30575	0,29256	0,30989	0,28544	1,25B	4,54%
12.01.2021	0,29246	0,2875	0,30897	0,27787	2,38B	1,71%
11.01.2021	0,28754	0,31501	0,31567	0,25579	3,79B	-8,78%
10.01.2021	0,31521	0,32433	0,36658	0,28928	3,31B	-2,81%
09.01.2021	0,32432	0,32072	0,33904	0,30626	2,38B	1,10%
08.01.2021	0,3208	0,32355	0,34591	0,28574	3,83B	-0,83%
07.01.2021	0,32348	0,24868	0,36878	0,2457	7,31B	30,06%
06.01.2021	0,24871	0,22547	0,27192	0,22162	3,53B	10,32%
05.01.2021	0,22544	0,2357	0,24183	0,21821	2,46B	-4,37%
04.01.2021	0,23575	0,22495	0,25988	0,21767	3,14B	4,87%
03.01.2021	0,22479	0,22087	0,23783	0,21542	2,49B	1,73%
02.01.2021	0,22097	0,23727	0,23806	0,2114	2,48B	-6,84%
01.01.2021	0,2372	0,21928	0,24997	0,21643	2,98B	8,18%
31.12.2020	0,21925	0,2113	0,2285	0,20543	2,81B	3,76%
30.12.2020	0,21131	0,22152	0,23525	0,19217	4,72B	-4,61%
29.12.2020	0,22151	0,24923	0,24996	0,17428	7,62B	-11,14%
28.12.2020	0,24929	0,28394	0,3082	0,23734	2,76B	-12,19%
27.12.2020	0,28388	0,29463	0,30993	0,26792	2,81B	-3,64%
26.12.2020	0,29461	0,31803	0,32559	0,28462	3,00B	-7,42%
25.12.2020	0,3182	0,33781	0,38265	0,28206	6,00B	-5,81%
24.12.2020	0,33782	0,2604	0,37492	0,24245	6,51B	29,72%
23.12.2020	0,26041	0,44685	0,44785	0,21523	8,38B	-41,78%
22.12.2020	0,44732	0,51439	0,5215	0,40335	2,96B	-13,05%
21.12.2020	0,51448	0,55604	0,56909	0,50019	1,57B	-7,53%
20.12.2020	0,55634	0,57665	0,58642	0,534	1,23B	-3,51%
19.12.2020	0,57659	0,58344	0,60299	0,56653	1,50B	-1,18%
18.12.2020	0,58348	0,57794	0,61238	0,5516	1,96B	0,97%
17.12.2020	0,5779	0,57087	0,65864	0,54263	3,45B	1,17%
16.12.2020	0,5712	0,46777	0,57337	0,43985	2,50B	22,10%
15.12.2020	0,46783	0,49735	0,50706	0,46489	1,26B	-5,96%
14.12.2020	0,49747	0,51392	0,5181	0,48986	869,69M	-3,25%
13.12.2020	0,51416	0,50589	0,52755	0,48652	1,28B	1,63%
12.12.2020	0,50589	0,54666	0,54739	0,48577	2,15B	-7,66%
11.12.2020	0,54787	0,57185	0,58519	0,52768	1,69B	-4,11%
10.12.2020	0,57136	0,58285	0,5879	0,55403	1,15B	-1,97%
09.12.2020	0,58285	0,55916	0,60371	0,50412	1,82B	4,27%
08.12.2020	0,55898	0,60813	0,61018	0,55189	1,18B	-8,08%
07.12.2020	0,60808	0,62158	0,62318	0,59144	898,96M	-2,13%
06.12.2020	0,62135	0,58546	0,62717	0,58032	1,29B	6,16%
05.12.2020	0,58532	0,55359	0,59567	0,54901	987,02M	5,75%
04.12.2020	0,55351	0,63027	0,63388	0,544	1,32B	-12,19%
03.12.2020	0,63032	0,6305	0,64141	0,61515	897,53M	-0,05%
02.12.2020	0,63065	0,61132	0,63644	0,59552	1,20B	3,24%
01.12.2020	0,61084	0,66388	0,67952	0,58734	2,04B	-7,99%
30.11.2020	0,66386	0,60533	0,67687	0,59974	2,27B	9,67%
29.11.2020	0,60534	0,62578	0,63606	0,58501	1,77B	-3,30%
28.11.2020	0,62597	0,56135	0,64838	0,54032	2,50B	11,54%
27.11.2020	0,5612	0,53659	0,58549	0,50451	2,48B	4,72%
26.11.2020	0,53593	0,63206	0,65095	0,4593	4,59B	-15,23%
25.11.2020	0,63224	0,6923	0,72288	0,58702	3,20B	-8,67%
24.11.2020	0,69224	0,61546	0,77883	0,57752	5,30B	12,54%
23.11.2020	0,6151	0,44605	0,6189	0,43287	3,49B	37,90%
22.11.2020	0,44604	0,46288	0,49544	0,41077	3,84B	-3,75%
21.11.2020	0,46343	0,3299	0,46804	0,32951	3,31B	40,45%
20.11.2020	0,32995	0,30358	0,3305	0,29717	1,45B	8,63%
19.11.2020	0,30374	0,29319	0,30705	0,28399	1,18B	3,57%
18.11.2020	0,29326	0,30226	0,30782	0,28225	1,35B	-2,98%
17.11.2020	0,30226	0,28792	0,30487	0,28731	1,47B	5,03%
16.11.2020	0,28778	0,26949	0,28985	0,26748	1,07B	6,82%
15.11.2020	0,26941	0,26813	0,27666	0,26412	885,34M	0,50%
14.11.2020	0,26808	0,26557	0,2771	0,26154	1,05B	0,98%
13.11.2020	0,26548	0,25489	0,2656	0,25374	942,55M	4,16%
12.11.2020	0,25486	0,2558	0,25814	0,25237	738,89M	-0,33%
11.11.2020	0,25569	0,25376	0,2599	0,25228	834,93M	0,77%
10.11.2020	0,25374	0,25054	0,26464	0,24807	1,07B	1,32%
09.11.2020	0,25043	0,25366	0,25613	0,24562	1,00B	-1,33%
08.11.2020	0,2538	0,24898	0,25693	0,24737	843,46M	1,94%
07.11.2020	0,24897	0,25861	0,26725	0,24488	976,55M	-3,68%
06.11.2020	0,25848	0,24567	0,26135	0,24512	1,07B	5,29%
05.11.2020	0,2455	0,23743	0,24722	0,23711	978,75M	3,37%
04.11.2020	0,2375	0,23945	0,24039	0,23263	1,02B	-0,85%
03.11.2020	0,23954	0,23528	0,24405	0,22803	1,03B	1,82%
02.11.2020	0,23526	0,2399	0,24455	0,2329	1,08B	-1,93%
01.11.2020	0,23989	0,23971	0,24132	0,23656	861,22M	0,07%
31.10.2020	0,23972	0,23914	0,24347	0,23745	872,34M	0,31%
30.10.2020	0,23897	0,24248	0,24389	0,23138	972,35M	-1,45%
29.10.2020	0,24247	0,24552	0,24702	0,23962	982,83M	-1,23%
28.10.2020	0,24549	0,25268	0,25667	0,24431	990,70M	-2,83%
27.10.2020	0,25265	0,24815	0,25396	0,24765	897,91M	1,80%
26.10.2020	0,24818	0,25311	0,25904	0,24363	1,00B	-1,98%
25.10.2020	0,25319	0,25611	0,25708	0,25122	804,28M	-1,14%
24.10.2020	0,25611	0,25471	0,2576	0,25256	726,90M	0,55%
23.10.2020	0,25471	0,25701	0,25917	0,25022	765,49M	-0,96%
22.10.2020	0,25718	0,25105	0,26354	0,25083	1,10B	2,45%
21.10.2020	0,25102	0,24324	0,25555	0,24261	1,12B	3,20%
20.10.2020	0,24324	0,24564	0,25021	0,24155	1,04B	-0,95%
19.10.2020	0,24558	0,24216	0,24942	0,24013	1,08B	1,34%
18.10.2020	0,24233	0,24057	0,2434	0,24007	1,12B	0,72%
17.10.2020	0,24059	0,24022	0,24316	0,23869	1,11B	0,16%
16.10.2020	0,2402	0,24588	0,24784	0,23772	1,15B	-2,30%
