Fechamento,Abertura,Maxima,Minima
383.11,385.96,396.48,372.53
385.96,383.16,392.61,377.63
383.2,407.64,409.02,370.4
407.7,390.81,410.17,387.62
390.5,395.56,396.96,383.42
395.56,388.06,396.87,379.96
387.99,416.05,418.72,385.21
416.05,407.39,418.92,402.8
407.44,422.1,426.65,394.51
422.16,430.63,433.65,415.45
430.56,433.62,444.86,420.71
433.63,432.22,436.58,413.22
432.18,438.04,442.7,428.75
438.03,424.28,443.74,418.37
424.31,387.15,430.33,377.57
387.12,379.03,389.21,367.05
379.01,395.52,398.13,367.38
395.53,390.22,399.05,386.45
390.23,396.78,399.93,384.31
396.76,379.57,396.77,376.38
379.57,394.8,398.14,366.44
394.83,400.8,403.18,391.67
400.79,389.62,406.92,384.84
389.62,385.86,402.01,381.3
385.8,372.26,397.73,368.46
372.08,387.15,415.08,335.76
387.14,346.48,392.37,343.33
346.51,334.84,349.34,329.02
334.87,317.79,341.11,314.83
317.82,316.95,324.93,312.64
316.96,321.82,326.53,306.4
321.8,311.12,332.57,311.04
311.13,305.32,318.54,300.33
305.32,279.33,308.57,279.33
279.33,275.33,287.01,268.54
275.34,263.29,279.53,260.7
263.28,245.54,266.42,241.89
245.53,236.1,246.49,235.67
236.1,239.03,239.71,234.51
239.01,235.72,239.7,233.35
235.75,232.77,236.83,232.4
232.75,233.65,234.53,231.84
233.65,238.62,239.47,230.44
238.62,240.49,241.36,237.04
240.5,239.75,242.08,237.21
239.73,242.84,245.04,237.71
242.75,239.2,243.79,236.91
239.2,241.21,241.64,237.76
241.26,242.01,242.17,236.19
242.02,246.93,247.63,238.28
246.99,239.26,248.76,238
239.25,241.56,243.43,234.92
241.56,227.95,241.64,227.1
227.98,229.09,229.8,223.79
229.15,225.09,230.4,224.8
225.12,226.42,228.14,224.77
226.42,230.96,232.04,223.53
230.95,225.61,232.47,224.33
225.63,227.88,228.57,223.23
227.87,225.09,229.83,221.6
225.09,221.07,227.74,218.46
221.06,229.72,231.3,217.11
229.67,232.57,233.5,228.16
232.56,234.75,235.29,227.99
234.75,243.2,249.23,231.56
243.2,243.24,244.77,240.94
243.25,228.11,246.39,227.69
228.13,228.87,231.18,227.38
228.86,229.11,230.96,226.28
229.11,231.34,231.94,226.97
231.34,233.85,234.69,228.13
233.88,235.37,236.55,228.63
235.36,230.92,235.95,228.99
230.93,231.99,233.34,219.06
232.02,238.23,238.48,230.52
238.22,237.55,238.61,234.86
237.54,230.72,239.23,228.62
230.71,247.79,249.77,227.01
247.78,243.82,249.51,242.54
